Age;Gender;Glasses;EyeProblems;Job;Education;NrFalseInputs_generalQuestions;Semester;FreeTime;SideJob;NrFalseInputs_studentQuestions;JavaExperience;OverallExperienc;OtherLanguages;BiggestProjectPart;BiggestProjectRead;BiggestProjectDone;JavaKnowledge;LastTimeJava;NrFalseInputs_progQuestions;WarmUpResult;Serious;Distract;Fun;NrFalseInputs_finalQuestions;SubjectID;Difficulty;RatingEqual;RatingReal;Dist_DR;Dist_DE;Dist_ER;Dist_AD;Dist_AE;Dist_AR;Appearance
1995;M?nnlich;Ja;Nein;Student;Abitur / Fachabitur;0;7;20;Selbst?ndig;0;6;7;PHP Javascript;8000;6000;1000.0;Projekterfahrung;L?nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;0b38aa57-8d66-46be-bfb8-573ab548703a;4280;4280;4280;0;0;0;0;0;0;4280
1997;M?nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;2;0;Nein;1;2;2;Haskell;2000;2000;500.0;Grundkenntnisse;Letzten Monat;0;r;Ja;Nein;Ja;0;2a020c38-c194-4a9e-9c74-d20a3c303cec;0428;8240;8204;4;4;2;4;4;2;2804
1995;M?nnlich;Nein;Keine Angabe;Student;Abitur / Fachabitur;0;5;3;Studentische Hilfskraft;0;4;4;JavaScript CSS HTML Scala C GO;15000;15000;5000.0;Regelm??ig;Diese Woche;0;r;Ja;Nein;Ja;0;2d5a163b-7255-40f4-a466-fda7fda39b57;8240;8240;8240;0;0;0;4;4;4;4082
1990;M?nnlich;Ja;Nein;Student;Abitur / Fachabitur;0;8;15;Nein;0;9;9;Go Python C;60000;60000;1500.0;Regelm??ig;Letzten Monat;0;r;Ja;Nein;Ja;0;340b02c1-6d18-472e-a606-6691e455637d;4082;8042;0842;3;2;2;4;3;2;2840
1970;M?nnlich;Ja;Nein;Angestellt in der freien Wirtschaft;Master / Diplom;0;0;0;Nein;0;16;30;ABAP C C++ Modula-2 Lisp noch ein paar mehr;1.000.000;200.000;150.0;Projekterfahrung;L?nger als 1 Jahr her;0;r;Ja;Nein;Nein;0;3432f575-9d7d-4600-a52b-cf682c33c2d7;8402;8204;8204;2;2;0;2;0;0;8204
1988;M?nnlich;Nein;Nein;Student;Bachelor;0;3;15;Studentische Hilfskraft;0;10;15;Python Haskell C C++;250000;250000;50000.0;Regelm??ig;Diese Woche;0;r;Ja;Nein;Ja;0;3a03db20-3ac0-4220-8a6f-ebb73f052032;4280;2048;0248;3;4;2;3;4;4;8420
1993;M?nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;6;0;Werkstudent;0;7;7;Haskell Python C++ JS TS;200000;26000;2000.0;Regelm??ig;Diese Woche;0;r;Ja;Nein;Ja;0;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;8024;2048;8402;3;3;4;3;4;0;8402
1993;Weiblich;Ja;Nein;Angestellt in der freien Wirtschaft;Abitur / Fachabitur;0;0;0;Nein;0;1;1;;1000;500;500.0;Grundkenntnisse;Diese Woche;1;r;Ja;Nein;Ja;0;657cdd6f-3b1b-4211-95cf-e6b348f17525;4280;2048;0248;3;4;2;4;4;3;0824
1995;M?nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;6;0;Nein;0;3;3;C C++;10000;10000;2000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Ja;0;79b33ae4-e339-4191-af55-ddbcc2be341a;8204;2084;2084;3;3;0;4;3;3;0482
1995;M?nnlich;Ja;Nein;Student;Abitur / Fachabitur;0;4;3;Studentische Hilfskraft;0;2;3;JavaScript PHP CSS HTML;30000;5000;2000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Ja;0;83f51366-0cb7-42d4-8272-6c42d820419d;8402;4802;4802;2;2;0;4;4;4;2084
1997;M?nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;2;7;Nein;0;9;9;Bash Python C;7000;500;7000.0;Regelm??ig;Diese Woche;0;r;Ja;Nein;Ja;0;963b71f8-bc8c-426b-a943-f899fb83dac9;4028;2048;0248;3;2;2;3;2;0;0248
1990;M?nnlich;Nein;Nein;Student;Bachelor;0;4;10;Nein;0;3;9;C C++ Python Bash Perl;5000;4000;4000.0;Projekterfahrung;Letztes Jahr;0;r;Ja;Nein;Ja;0;9c9cac0d-637b-47b6-970a-3d7891597082;2084;0824;0284;2;3;2;3;0;2;0824
2000;M?nnlich;Nein;Nein;Anders;Anderer Abschluss;0;0;0;Nein;0;1;1;C C++ ABAP;700;700;700.0;Keine Erfahrung;Diese Woche;2;r;Ja;Nein;Ja;0;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;2480;2048;2048;3;3;0;3;3;3;4082
1997;M?nnlich;Ja;Ja;Student;Abitur / Fachabitur;0;4;1;Nein;0;4;4;;5000;5000;5000.0;Regelm??ig;L?nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;a8274994-925c-4bf4-bfee-6a2318a0ae79;8024;0824;0824;2;2;0;4;4;4;4208
1996;M?nnlich;Nein;Nein;Angestellt in der freien Wirtschaft;Abitur / Fachabitur;0;0;0;Nein;0;2;3;JavaScript PL/SQL C++;50000;-;1000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Ja;0;afec3d90-808c-4c50-b759-535754388ceb;2048;0248;0248;2;2;0;3;4;4;2480
1994;M?nnlich;Nein;Ja;Student;Abitur / Fachabitur;0;6;3;Studentische Hilfskraft;0;7;7;C C++ Single Assignment C Haskell;10000;10000;2000.0;Projekterfahrung;Letzten Monat;0;r;Ja;Nein;Nein;0;b2086a14-44bf-4a26-8261-f2679230b9a8;2048;2048;0824;4;0;4;4;4;4;8402
1994;M?nnlich;Ja;Nein;Student;Bachelor;0;1;2;Studentische Hilfskraft;0;5;5;Python (Grundkenntnisse);10000;10000;500.0;Regelm??ig;Letzten Monat;0;r;Ja;Nein;Ja;0;bc09646b-dfee-4aac-8918-eee34b72ef2b;8240;4208;4028;4;3;2;4;4;3;2084
1989;M?nnlich;Ja;Nein;Angestellt an der Universit?t (kein HiWi);Master / Diplom;0;0;0;Nein;0;6;6;CC++Scala;50000;50000;5000.0;Regelm??ig;Letzten Monat;1;r;Ja;Nein;Ja;0;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;0284;2480;2480;3;3;0;4;3;3;4820
1989;M?nnlich;Nein;Ja;Angestellt an der Universit?t (kein HiWi);Master / Diplom;2;0;0;Nein;0;10;20;CC++PythonRGroovyBashPascal;100000;100000;50000.0;Projekterfahrung;Diese Woche;0;r;Ja;Nein;Ja;0;db813ec1-a4b3-459b-8fe5-f7922f07c48a;8240;8042;8024;3;2;2;4;3;2;2084
1984;M?nnlich;Nein;Ja;Angestellt an der Universit?t (kein HiWi);Master / Diplom;0;0;0;Nein;0;5;15;C++ Python Haskell R;500000;100000;30000.0;Projekterfahrung;L?nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;deb2daed-9b19-4b16-8d73-19782d99f1be;8204;4208;0428;4;2;3;4;3;3;2048
1994;M?nnlich;Ja;Nein;Student;Abitur / Fachabitur;0;7;12;Studentische Hilfskraft;0;5;5;Java JavaScript TypeScript C;~30000;~30000;15000.0;Regelm??ig;Diese Woche;0;r;Ja;Nein;Ja;0;e2f1a12c-0c6c-4377-9cb3-7900e161543e;0842;0248;0248;2;2;0;4;4;4;8024
1996;M?nnlich;Nein;Ja;Student;Abitur / Fachabitur;0;6;20;Studentische Hilfskraft;0;3;7;PythonCC++Go;25000;16000;25000.0;Projekterfahrung;Letztes Jahr;0;r;Ja;Nein;Ja;0;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;0842;4082;4082;3;3;0;4;3;3;8024
