RatingPosition;SnippetName;SnippetIndentation;AppearanceNumber;SubjectID;OverallTime
0;Do;0;0;0b38aa57-8d66-46be-bfb8-573ab548703a;50776
1;Test;8;1;0b38aa57-8d66-46be-bfb8-573ab548703a;50776
2;Main;2;2;0b38aa57-8d66-46be-bfb8-573ab548703a;50776
3;Program;4;3;0b38aa57-8d66-46be-bfb8-573ab548703a;50776
0;Test;0;1;2a020c38-c194-4a9e-9c74-d20a3c303cec;76685
1;Do;4;0;2a020c38-c194-4a9e-9c74-d20a3c303cec;76685
2;Main;2;3;2a020c38-c194-4a9e-9c74-d20a3c303cec;76685
3;Program;8;2;2a020c38-c194-4a9e-9c74-d20a3c303cec;76685
0;Test;0;2;2d5a163b-7255-40f4-a466-fda7fda39b57;87055
1;Do;4;3;2d5a163b-7255-40f4-a466-fda7fda39b57;87055
2;Program;2;0;2d5a163b-7255-40f4-a466-fda7fda39b57;87055
3;Main;8;1;2d5a163b-7255-40f4-a466-fda7fda39b57;87055
0;Test;2;3;340b02c1-6d18-472e-a606-6691e455637d;63126
1;Program;4;1;340b02c1-6d18-472e-a606-6691e455637d;63126
2;Do;0;0;340b02c1-6d18-472e-a606-6691e455637d;63126
3;Main;8;2;340b02c1-6d18-472e-a606-6691e455637d;63126
0;Test;4;0;3432f575-9d7d-4600-a52b-cf682c33c2d7;23756
1;Program;0;1;3432f575-9d7d-4600-a52b-cf682c33c2d7;23756
2;Do;2;2;3432f575-9d7d-4600-a52b-cf682c33c2d7;23756
3;Main;8;3;3432f575-9d7d-4600-a52b-cf682c33c2d7;23756
0;Test;8;3;3a03db20-3ac0-4220-8a6f-ebb73f052032;37474
1;Main;4;2;3a03db20-3ac0-4220-8a6f-ebb73f052032;37474
2;Do;0;0;3a03db20-3ac0-4220-8a6f-ebb73f052032;37474
3;Program;2;1;3a03db20-3ac0-4220-8a6f-ebb73f052032;37474
0;Do;8;3;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;41553
1;Main;4;2;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;41553
2;Program;0;1;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;41553
3;Test;2;0;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;41553
0;Test;8;2;657cdd6f-3b1b-4211-95cf-e6b348f17525;52584
1;Main;4;0;657cdd6f-3b1b-4211-95cf-e6b348f17525;52584
2;Do;0;3;657cdd6f-3b1b-4211-95cf-e6b348f17525;52584
3;Program;2;1;657cdd6f-3b1b-4211-95cf-e6b348f17525;52584
0;Do;4;2;79b33ae4-e339-4191-af55-ddbcc2be341a;105785
1;Main;8;1;79b33ae4-e339-4191-af55-ddbcc2be341a;105785
2;Test;0;3;79b33ae4-e339-4191-af55-ddbcc2be341a;105785
3;Program;2;0;79b33ae4-e339-4191-af55-ddbcc2be341a;105785
0;Do;2;3;83f51366-0cb7-42d4-8272-6c42d820419d;35410
1;Test;0;2;83f51366-0cb7-42d4-8272-6c42d820419d;35410
2;Main;8;1;83f51366-0cb7-42d4-8272-6c42d820419d;35410
3;Program;4;0;83f51366-0cb7-42d4-8272-6c42d820419d;35410
0;Test;8;0;963b71f8-bc8c-426b-a943-f899fb83dac9;62441
1;Program;4;1;963b71f8-bc8c-426b-a943-f899fb83dac9;62441
2;Main;0;3;963b71f8-bc8c-426b-a943-f899fb83dac9;62441
3;Do;2;2;963b71f8-bc8c-426b-a943-f899fb83dac9;62441
0;Test;4;0;9c9cac0d-637b-47b6-970a-3d7891597082;115913
1;Main;2;1;9c9cac0d-637b-47b6-970a-3d7891597082;115913
2;Program;8;2;9c9cac0d-637b-47b6-970a-3d7891597082;115913
3;Do;0;3;9c9cac0d-637b-47b6-970a-3d7891597082;115913
0;Test;8;1;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;68234
1;Program;4;3;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;68234
2;Do;0;2;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;68234
3;Main;2;0;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;68234
0;Do;4;3;a8274994-925c-4bf4-bfee-6a2318a0ae79;37147
1;Program;2;2;a8274994-925c-4bf4-bfee-6a2318a0ae79;37147
2;Test;8;0;a8274994-925c-4bf4-bfee-6a2318a0ae79;37147
3;Main;0;1;a8274994-925c-4bf4-bfee-6a2318a0ae79;37147
0;Do;8;1;afec3d90-808c-4c50-b759-535754388ceb;75059
1;Test;4;2;afec3d90-808c-4c50-b759-535754388ceb;75059
2;Program;2;3;afec3d90-808c-4c50-b759-535754388ceb;75059
3;Main;0;0;afec3d90-808c-4c50-b759-535754388ceb;75059
0;Do;8;3;b2086a14-44bf-4a26-8261-f2679230b9a8;141559
1;Test;4;2;b2086a14-44bf-4a26-8261-f2679230b9a8;141559
2;Main;0;1;b2086a14-44bf-4a26-8261-f2679230b9a8;141559
3;Program;2;0;b2086a14-44bf-4a26-8261-f2679230b9a8;141559
0;Do;8;1;bc09646b-dfee-4aac-8918-eee34b72ef2b;65108
1;Test;0;2;bc09646b-dfee-4aac-8918-eee34b72ef2b;65108
2;Program;2;3;bc09646b-dfee-4aac-8918-eee34b72ef2b;65108
3;Main;4;0;bc09646b-dfee-4aac-8918-eee34b72ef2b;65108
0;Program;0;0;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;81945
1;Test;8;2;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;81945
2;Do;4;3;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;81945
3;Main;2;1;c74c0869-2b12-4c27-9d7e-9fd793d66ef7;81945
0;Main;2;3;db813ec1-a4b3-459b-8fe5-f7922f07c48a;112776
1;Do;4;0;db813ec1-a4b3-459b-8fe5-f7922f07c48a;112776
2;Test;0;2;db813ec1-a4b3-459b-8fe5-f7922f07c48a;112776
3;Program;8;1;db813ec1-a4b3-459b-8fe5-f7922f07c48a;112776
0;Main;8;0;deb2daed-9b19-4b16-8d73-19782d99f1be;42097
1;Program;0;2;deb2daed-9b19-4b16-8d73-19782d99f1be;42097
2;Test;2;3;deb2daed-9b19-4b16-8d73-19782d99f1be;42097
3;Do;4;1;deb2daed-9b19-4b16-8d73-19782d99f1be;42097
0;Test;8;3;e2f1a12c-0c6c-4377-9cb3-7900e161543e;45356
1;Do;4;0;e2f1a12c-0c6c-4377-9cb3-7900e161543e;45356
2;Program;2;1;e2f1a12c-0c6c-4377-9cb3-7900e161543e;45356
3;Main;0;2;e2f1a12c-0c6c-4377-9cb3-7900e161543e;45356
0;Do;2;1;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;59127
1;Program;8;3;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;59127
2;Main;0;2;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;59127
3;Test;4;0;e3bb0a72-d1e9-432f-af9c-bd1d7944d62c;59127
